"Title","Title"
"New order status","New order status"
"Send complete email","Send complete email"
"API Hash","API Hash"
"API Secret","API Secret"
"Merchant Email","Merchant Email"
"Environment","Environment"
"IPN Secret","IPN Secret"
"Allowed countries";"Allowed countries"
"Specific allowed countries";"Specific allowed countries"
"Something went wrong","Something went wrong"
"Order access forbidden","Order access forbidden"
"Order does not exist","Order does not exist"
"Customer is not order owner","Customer is not order owner"
"Invalid IPN url","Invalid IPN url"
"Invalid hash provided","Invalid hash provided"
"Invalid order amount provided","Invalid order amount provided"
"Invalid order currency provided","Invalid order currency provided"
"Unknown status provided","Unknown status provided"
"Invalid ipn data","Invalid ipn data"
"G2A Pay IPN update: payment complete","G2A Pay IPN update: payment complete"
"G2A Pay IPN update: payment refund by %.2f","G2A Pay IPN update: payment refund by %.2f"
"G2A Pay IPN update: payment rejected","G2A Pay IPN update: payment rejected"
"G2A Pay IPN update: payment cancelled","G2A Pay IPN update: payment cancelled"
"Invoice notification #%s","Invoice notification #%s"
"Refund operation failed","Refund operation failed"
"Get order operation failed","Get order operation failed"
"Remote order refund failed","Remote order refund failed"
"Log levels","Log levels"
"Order cancelled","Order cancelled"
"Order cancel failed","Order cancel failed"
"Invalid token","Invalid token"
"Display title instead of logo","Display title instead of logo"
"About G2A Pay","About G2A Pay"
"Current IPN url:","Current IPN url:"
"A new IPN url will be generated with a change of IPN secret","A new IPN url will be generated with a change of IPN secret"
